sku,name,price,description
LAPTOP001,Dell XPS 13 Laptop,999.99,Ultra-portable laptop with Intel Core i7 processor
PHONE002,iPhone 14 Pro,1099,Latest iPhone with advanced camera system
TABLET003,iPad Air 5th Gen,599.99,Powerful tablet with M1 chip
HEADPHONE004,Sony WH-1000XM4,349.99,Noise-canceling wireless headphones
KEYBOARD005,Logitech MX Keys,99.99,Advanced wireless illuminated keyboard
MOUSE006,Logitech MX Master 3,99.99,Advanced wireless mouse for productivity
MONITOR007,Dell UltraSharp 27,449.99,27-inch 4K USB-C monitor
SPEAKER008,Bose SoundLink Revolve,199.99,Portable Bluetooth speaker with 360-degree sound
CAMERA009,Canon EOS R5,3899.99,Professional mirrorless camera with 45MP sensor
PRINTER010,HP LaserJet Pro,299.99,Wireless laser printer for home office
ROUTER011,ASUS AX6000,299.99,WiFi 6 gaming router with advanced features
SSD012,Samsung 980 PRO 1TB,149.99,High-performance NVMe SSD for gaming
RAM013,Corsair Vengeance 32GB,199.99,DDR4 memory kit for high-performance computing
GPU014,NVIDIA RTX 4070,599.99,High-performance graphics card for gaming
CPU015,AMD Ryzen 7 5800X,299.99,8-core desktop processor for gaming and content creation
MOBO016,ASUS ROG Strix B550,189.99,Gaming motherboard with WiFi 6 and RGB lighting
PSU017,Corsair RM850x,149.99,850W modular power supply with 80+ Gold certification
CASE018,NZXT H510,79.99,Mid-tower ATX case with tempered glass panel
COOLER019,Noctua NH-D15,99.99,Premium CPU cooler with dual fans
WATCH020,Apple Watch Series 8,399.99,Advanced smartwatch with health monitoring
EARBUDS021,AirPods Pro 2nd Gen,249.99,Wireless earbuds with active noise cancellation
CHARGER022,Anker PowerCore 26800,59.99,High-capacity portable charger with fast charging
CABLE023,USB-C to Lightning Cable,19.99,Apple MFi certified charging cable
STAND024,Laptop Stand Aluminum,49.99,Adjustable laptop stand for ergonomic viewing
WEBCAM025,Logitech C920 HD Pro,79.99,Full HD webcam for video conferencing
MIC026,Blue Yeti USB Microphone,99.99,Professional USB microphone for streaming
LIGHT027,Ring Light with Tripod,39.99,LED ring light for photography and video calls
DESK028,Standing Desk Converter,199.99,Adjustable standing desk converter for health
CHAIR029,Herman Miller Aeron,1395,Ergonomic office chair with advanced lumbar support
BAG030,Peak Design Everyday Backpack,279.95,Premium camera and laptop backpack
DRIVE031,WD My Passport 4TB,119.99,Portable external hard drive with password protection
HUB032,CalDigit TS3 Plus,249.99,Thunderbolt 3 dock with multiple ports
ADAPTER033,Apple USB-C Digital AV,69,Multiport adapter for MacBook connectivity
SLEEVE034,Bellroy Laptop Sleeve,89,Premium leather laptop sleeve with magnetic closure
PAD035,SteelSeries QcK Gaming,24.99,Large gaming mouse pad with optimized surface
CONTROLLER036,Xbox Wireless Controller,59.99,Wireless gaming controller for Xbox and PC
HEADSET037,SteelSeries Arctis 7,149.99,Wireless gaming headset with DTS surround sound
KEYBOARD038,Razer BlackWidow V3,139.99,Mechanical gaming keyboard with RGB lighting
MOUSE039,Razer DeathAdder V3,79.99,Ergonomic gaming mouse with high precision sensor
MOUSEPAD040,Corsair MM300 Extended,29.99,Extended gaming mouse pad with anti-fray edges
WEBCAM041,Razer Kiyo,99.99,Streaming webcam with built-in ring light
STREAM042,Elgato Stream Deck,149.99,Customizable control panel for content creators
CAPTURE043,Elgato HD60 S+,199.99,4K60 HDR10 capture card for streaming
LIGHT044,Elgato Key Light,199.99,Professional LED panel light for streaming
ARM045,Elgato Multi Mount,79.99,Flexible mounting system for streaming equipment
FILTER046,Blue Compass Boom Arm,99.99,Premium boom arm for broadcast microphones
SHOCK047,Blue Radius III Shock Mount,59.99,Custom shock mount for Blue microphones
FOAM048,Auralex Studiofoam,49.99,Acoustic foam panels for sound treatment
INTERFACE049,Focusrite Scarlett 2i2,169.99,USB audio interface for recording
MONITOR050,KRK Rokit 5 G4,179.99,Professional studio monitor speakers
